Macro-attribut;Chemin;Cas de test ;R‚sultat;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&sort=-civilite.date_fin_validite&instance=VALEUR_REFERENCE;00042;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_creation]=ega!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00043;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_creation]=neg!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00044;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_creation=sup!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00045;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_creation]=sue!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00046;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_creation]=inf!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00047;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_creation]=ine!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00048;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&sort=civilite.date_creation&instance=VALEUR_REFERENCE;00049;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&sort=-civilite.date_creation&instance=VALEUR_REFERENCE;00050;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_maj]=ega!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00051;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_maj]=neg!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00052;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_maj=sup!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00053;KO;;;;;;
