expression_reference, true_count, false_count, expression_string, file_name
00004,1935,1,idMetier neg MME,testCodification/Codification_resultat_00024.json,
00005,1,1935,idMetier com MME,testCodification/Codification_resultat_00024.json,
00006,1935,1,idMetier nco MME,testCodification/Codification_resultat_00024.json,
00003,0,1,idMetier ega MME,testCodification/Codification_resultat_00025.json,
00004,1,0,idMetier neg MME,testCodification/Codification_resultat_00025.json,
00005,0,1,idMetier com MME,testCodification/Codification_resultat_00025.json,
00006,1,0,idMetier nco MME,testCodification/Codification_resultat_00025.json,
00003,0,1,idMetier ega MME,testCodification/Codification_resultat_00026.json,
00004,1,0,idMetier neg MME,testCodification/Codification_resultat_00026.json,
00005,0,1,idMetier com MME,testCodification/Codification_resultat_00026.json,
00006,1,0,idMetier nco MME,testCodification/Codification_resultat_00026.json,
00003,1,1936,idMetier ega MME,testCodification/Codification_resultat_00028.json,
00004,1936,1,idMetier neg MME,testCodification/Codification_resultat_00028.json,
00005,1,1936,idMetier com MME,testCodification/Codification_resultat_00028.json,
00006,1936,1,idMetier nco MME,testCodification/Codification_resultat_00028.json,
00003,1,1936,idMetier ega MME,testCodification/Codification_resultat_00029.json,
00004,1936,1,idMetier neg MME,testCodification/Codification_resultat_00029.json,
00005,1,1936,idMetier com MME,testCodification/Codification_resultat_00029.json,
00006,1936,1,idMetier nco MME,testCodification/Codification_resultat_00029.json,
00003,1,1936,idMetier ega MME,testCodification/Codification_resultat_00031.json,
00004,1936,1,idMetier neg MME,testCodification/Codification_resultat_00031.json,
00005,1,1936,idMetier com MME,testCodification/Codification_resultat_00031.json,
00006,1936,1,idMetier nco MME,testCodification/Codification_resultat_00031.json,
00003,1,1936,idMetier ega MME,testCodification/Codification_resultat_00032.json,
00004,1936,1,idMetier neg MME,testCodification/Codification_resultat_00032.json,
00005,1,1936,idMetier com MME,testCodification/Codification_resultat_00032.json,
00006,1936,1,idMetier nco MME,testCodification/Codification_resultat_00032.json,
00003,1,1936,idMetier ega MME,testCodification/Codification_resultat_00033.json,
00004,1936,1,idMetier neg MME,testCodification/Codification_resultat_00033.json,
00005,1,1936,idMetier com MME,testCodification/Codification_resultat_00033.json,
00006,1936,1,idMetier nco MME,testCodification/Codification_resultat_00033.json,
00003,1,1936,idMetier ega MME,testCodification/Codification_resultat_00034.json,
00004,1936,1,idMetier neg MME,testCodification/Codification_resultat_00034.json,
00005,1,1936,idMetier com MME,testCodification/Codification_resultat_00034.json,
00006,1936,1,idMetier nco MME,testCodification/Codification_resultat_00034.json,
